مگر اینکه ... | Unless ...
آبچکان (ظرفشویی) | Dish Rack
-- Pronunciation: /dɪʃ ræk/
-- Tone: Neutral
-- Example: 1. Put the clean plates in the dish rack to dry.

خاک انداز | Dustpan
-- Pronunciation: /ˈdʌstˌpæn/
-- Tone: Neutral
-- Example: 1. Sweep the dirt into the dustpan.

نردبان تاشو | Stepladder
-- Pronunciation: /ˈstɛpˌlædər/
-- Tone: Neutral
-- Example: 1. I need a stepladder to change the light bulb.

چسب زخم | Band-Aid / Plaster
-- Pronunciation: /ˈbænd eɪd/
-- Tone: Neutral
-- Example: 1. Put a Band-Aid on that cut.

موچین | Tweezers
-- Pronunciation: /ˈtwiːzərz/
-- Tone: Neutral
-- Example: 1. She used tweezers to remove the splinter.

سوهان ناخن | Nail File
-- Pronunciation: /neɪl faɪl/
-- Tone: Neutral
-- Example: 1. Can I borrow your nail file?

سرخ کن | Fryer
-- Pronunciation: /ˈfraɪər/
-- Tone: Neutral
-- Example: 1. We made french fries in the deep fryer.

همزن (دستی) | Whisk
-- Pronunciation: /wɪsk/
-- Tone: Neutral
-- Example: 1. Use a whisk to beat the eggs.

رنده | Grater
-- Pronunciation: /ˈɡreɪtər/
-- Tone: Neutral
-- Example: 1. I need a cheese grater for the pasta.

درب بازکن (کنسرو) | Can Opener
-- Pronunciation: /kæn ˈoʊpənər/
-- Tone: Neutral
-- Example: 1. The can opener is in the drawer.

وسیله / ابزار (مبهم) | Contraption
-- Pronunciation: /kənˈtræpʃən/
-- Tone: Informal
-- Synonyms: Gadget, Gizmo
-- Example: 1. What is that weird contraption in the garage?

چرت و پرت / مهمل | Gibberish
-- Pronunciation: /ˈdʒɪbərɪʃ/
-- Tone: Informal
-- Synonyms: Nonsense
-- Example: 1. He was talking gibberish; I couldn't understand a word.

طفره رفتن / معطل کردن | Procrastinate
-- Pronunciation: /proʊˈkræstəˌneɪt/
-- Tone: Neutral
-- Synonyms: Delay
-- Example: 1. I always procrastinate when I have a deadline.

کینه | Grudge
-- Pronunciation: /ɡrʌdʒ/
-- Tone: Neutral
-- Example: 1. She still holds a grudge against him for what he said.

حس ششم | Gut feeling
-- Pronunciation: /ɡʌt ˈfiːlɪŋ/
-- Tone: Informal
-- Synonyms: Intuition
-- Example: 1. I have a gut feeling that something is wrong.

بداهه / یهویی | Impromptu
-- Pronunciation: /ɪmˈprɑmptu/
-- Tone: Neutral
-- Synonyms: Spontaneous
-- Example: 1. They held an impromptu meeting in the hallway.

مقرون به صرفه | Cost-effective
-- Pronunciation: /kɔst ɪˈfɛktɪv/
-- Tone: Corporate
-- Synonyms: Economical
-- Example: 1. This is the most cost-effective solution.

سرمایه گذاری (ریسک) | Venture
-- Pronunciation: /ˈvɛntʃər/
-- Tone: Business
-- Example: 1. Their new business venture failed.

ذینفعان | Stakeholders
-- Pronunciation: /ˈsteɪkˌhoʊldərz/
-- Tone: Corporate
-- Example: 1. We need to get approval from all stakeholders.

پهنای باند (ظرفیت ذهنی) | Bandwidth
-- Pronunciation: /ˈbændwɪdθ/
-- Tone: Corporate/Slang
-- Example: 1. I don't have the bandwidth to take on another project right now.

نتیجه نهایی / سود خالص | Bottom line
-- Pronunciation: /ˈbɑtəm laɪn/
-- Tone: Corporate
-- Example: 1. The bottom line is that we need to cut costs. 2. What's the impact on the bottom line?

نوآوری / تحول بزرگ | Breakthrough
-- Pronunciation: /ˈbreɪkˌθru/
-- Tone: Neutral
-- Example: 1. Scientists have made a major breakthrough in cancer research.

بادوام / جان سخت | Resilient
-- Pronunciation: /rɪˈzɪljənt/
-- Tone: Positive
-- Example: 1. She is very resilient; she bounces back from setbacks quickly.

کمیاب | Scarce
-- Pronunciation: /skɛrs/
-- Tone: Neutral
-- Synonyms: Rare
-- Example: 1. Food was scarce during the war.

فراوان | Abundant
-- Pronunciation: /əˈbʌndənt/
-- Tone: Neutral
-- Synonyms: Plentiful
-- Example: 1. We have abundant natural resources.

منسجم / یکدست | Coherent
-- Pronunciation: /koʊˈhɪrənt/
-- Tone: Formal
-- Example: 1. The team lacks a coherent strategy. 2. He couldn't speak in a coherent sentence.

سازش / مصالحه | Compromise
-- Pronunciation: /ˈkɑmprəˌmaɪz/
-- Tone: Neutral
-- Example: 1. We reached a compromise after hours of negotiation. 2. Don't compromise your values.

تطبیق دادن / وفق دادن | Adapt
-- Pronunciation: /əˈdæpt/
-- Tone: Neutral
-- Example: 1. You need to adapt to the new environment.

کاهش دادن (اثر بد) | Mitigate
-- Pronunciation: /ˈmɪtɪˌɡeɪt/
-- Tone: Formal
-- Synonyms: Alleviate
-- Example: 1. We took steps to mitigate the risks.

ابهام | Ambiguity
-- Pronunciation: /ˌæmbɪˈɡjuɪti/
-- Tone: Formal
-- Example: 1. The contract is full of ambiguity.
