مخالفم | I disagree
-- Example: 1. You're twisting my words. I didn't say that.

سوء تفاهم شده | It's a misunderstanding
-- Tone: Spoken
-- Example: 1. Wait, let me explain. It's a misunderstanding.

بذار توضیح بدم | Let me explain
-- Tone: Spoken
-- Example: 1. It's not what it looks like. Let me explain.

بهش گوش کن | Hear him out
-- Tone: Spoken
-- Example: 1. Don't interrupt. Just hear him out.

منصفانه باش | Be fair
-- Tone: Spoken
-- Example: 1. I did half the work. Be fair.

انصاف نیست | It's not fair
-- Tone: Spoken
-- Example: 1. Why does he get two cookies? It's not fair.

خودت میدونی | Suit yourself
-- Tone: Spoken
-- Example: 1. You don't want to come? Fine, suit yourself.

از ما گفتن بود (میل خودته) | It's your funeral
-- Tone: Spoken
-- Example: 1. You're going to argue with the boss? Okay, it's your funeral.

به من چه (مشکل من نیست) | Not my problem
-- Tone: Spoken
-- Example: 1. You forgot your lunch? Not my problem.

من کاره‌ای نیستم | Don't look at me
-- Tone: Spoken
-- Example: 1. I didn't break it. Don't look at me.

من بی‌گناهم | I'm innocent
-- Tone: Spoken
-- Example: 1. I didn't do anything! I'm innocent!

قسم می‌خورم | I swear
-- Tone: Spoken
-- Example: 1. I didn't touch it, I swear!

به جون مادرم | On my mother's life
-- Tone: Spoken
-- Example: 1. I'm telling the truth, on my mother's life.

به خدا قسم | I swear to God
-- Tone: Spoken
-- Example: 1. I swear to God, I had no idea.

باور کن | Believe me
-- Tone: Spoken
-- Example: 1. It's dangerous out there. Believe me.

بهم اعتماد کن | Trust me
-- Tone: Spoken
-- Example: 1. I know a shortcut. Trust me.

راست میگم | I'm telling the truth
-- Tone: Spoken
-- Example: 1. Why won't you believe me? I'm telling the truth.

دروغ میگی | You're lying
-- Tone: Spoken
-- Example: 1. Your face is red. You're lying.

دروغگو | Liar
-- Tone: Spoken
-- Example: 1. You never went to college! Liar!

داری دروغ میبافی | You're making it up
-- Tone: Spoken
-- Example: 1. Aliens didn't take your homework. You're making it up.

بهونه نیار | Don't make excuses
-- Tone: Spoken
-- Example: 1. You're late again. Don't make excuses.

توجیه نکن | Don't justify it
-- Tone: Spoken
-- Example: 1. Stealing is wrong. Don't justify it.

مسئولیتش با من | I take full responsibility
-- Tone: Spoken
-- Example: 1. The project failed. I take full responsibility.

متاسفم که ... | I regret ...
-- Tone: Spoken
-- Example: 1. I regret shouting at you.

ای کاش ... | I wish ...
-- Tone: Spoken
-- Example: 1. I wish I hadn't done that.

باید میگفتم | I should have said ...
-- Tone: Spoken
-- Example: 1. I should have said sorry earlier.

نباید انجام میدادم | I shouldn't have done it
-- Tone: Spoken
-- Example: 1. It was a mistake. I shouldn't have done it.

تقصیر توئه | It's your fault
-- Tone: Spoken
-- Example: 1. We missed the bus! It's your fault.

سرزنش نکن | Don't blame me
-- Tone: Spoken
-- Example: 1. You chose this restaurant. Don't blame me.

انگشت اتهام نزن | Don't point fingers
-- Tone: Spoken
-- Example: 1. Let's solve the problem instead of pointing fingers.

باهات قهرم | I'm not talking to you
-- Tone: Spoken
-- Example: 1. Go away. I'm not talking to you.

تنهام بذار | Leave me alone
-- Tone: Spoken
-- Example: 1. I said leave me alone!

دست از سرم بردار | Get off my case
-- Tone: Spoken
-- Example: 1. I'll clean my room later. Get off my case.

بذار نفس بکشم | Give me some space
-- Tone: Spoken
-- Example: 1. We need a break. Give me some space.

وقتشه تمومش کنیم | It's time to end this
-- Tone: Spoken
-- Example: 1. This war has gone on too long. It's time to end this.

دیگه تمومه | It's over
-- Tone: Spoken
-- Example: 1. Our relationship isn't working. It's over.

بزن بریم بیرون | Let's take this outside
-- Tone: Spoken
-- Example: 1. You wanna fight? Let's take this outside.

آروم باش | Calm down
-- Tone: Spoken
-- Example: 1. Calm down, it's just a game.

ریلکس کن | Chill
-- Tone: Spoken
-- Example: 1. Dude, just chill.

نفس عمیق بکش | Take a deep breath
-- Tone: Spoken
-- Example: 1. You're panicking. Take a deep breath.

همه چی مرتبه | Everything is under control
-- Tone: Spoken
-- Example: 1. Don't panic. Everything is under control.

مشکلی نیست | It's cool
-- Tone: Spoken
-- Example: 1. "Sorry I broke it." "It's cool, I have another one."

بی‌خیال بابا | Get over it
-- Tone: Spoken
-- Example: 1. She dumped you a year ago. Get over it.

بگذر ازش | Move on
-- Tone: Spoken
-- Example: 1. Life goes on. You need to move on.

گذشته‌ها گذشته | The past is in the past
-- Tone: Spoken
-- Example: 1. Don't dwell on mistakes. The past is in the past.

آب زیر پل (گذشته، تموم شده) | Water under the bridge
-- Tone: Spoken
-- Example: 1. We fought years ago, but that's water under the bridge now.

صلح کنیم (تبر جنگ را خاک کنیم) | Bury the hatchet
-- Tone: Spoken
-- Example: 1. Let's stop fighting and bury the hatchet.

از اول شروع کنیم | Let's start over
-- Tone: Spoken
-- Example: 1. We got off on the wrong foot. Let's start over.

صفحه جدید (شروع تازه) | Turn a new leaf
-- Tone: Spoken
-- Example: 1. He came out of prison and turned a new leaf.

شانس دوم | Second chance
-- Tone: Spoken
-- Example: 1. Everyone deserves a second chance.
