برنامه چیه؟ | What's the plan?
-- Example: 1. (Sometimes sarcastic) Leaving the door open was a bright idea.

کی فکرشو میکرد؟ | Who would have thought?
-- Tone: Spoken
-- Example: 1. He became a doctor? Who would have thought?

عجب دنیاییه | What a world
-- Tone: Spoken
-- Example: 1. Robots cleaning houses. What a world.

باورت میشه؟ | Can you believe it?
-- Tone: Spoken
-- Example: 1. He won twice in a row. Can you believe it?

شوخیت گرفته؟ (امکان نداره) | You gotta be kidding me
-- Tone: Spoken
-- Example: 1. The flight is cancelled? You gotta be kidding me.

غیر ممکنه | No way
-- Tone: Spoken
-- Example: 1. "I got tickets to the show!" "No way!"

واقعاً؟ | For real?
-- Tone: Spoken
-- Example: 1. "Is that a diamond?" "For real?"

دروغ نگو (برو بابا) | Shut up (Surprise)
-- Tone: Spoken
-- Example: 1. "I'm pregnant!" "Shut up! Really?" (Friendly slang)

حتما شوخی میکنی | You must be joking
-- Tone: Spoken
-- Example: 1. $100 for a sandwich? You must be joking.

منظوری ندارم | I mean no harm
-- Tone: Spoken
-- Example: 1. The dog is barking but he means no harm.

قصد بدی نداشتم | I didn't mean to
-- Tone: Spoken
-- Example: 1. I didn't mean to hurt your feelings.

از قصد نبود | It wasn't on purpose
-- Tone: Spoken
-- Example: 1. I dropped it, but it wasn't on purpose.

تصادفی بود | It was an accident
-- Tone: Spoken
-- Example: 1. I didn't verify break the window; it was an accident.

تقصیر من نیست | It's not my fault
-- Tone: Spoken
-- Example: 1. Don't look at me. It's not my fault.

من اینکارو نکردم | I didn't do it
-- Tone: Spoken
-- Example: 1. "Who ate the cake?" "I didn't do it."

مدرک داری؟ | Can you prove it?
-- Tone: Spoken
-- Example: 1. You say I stole it? Can you prove it?

حرفت رو باور میکنم | I believe you
-- Tone: Spoken
-- Example: 1. You don't have to swear. I believe you.

بهت اعتماد دارم | I trust you
-- Tone: Spoken
-- Example: 1. I know you'll do the right thing. I trust you.

بهت ایمان دارم | I have faith in you
-- Tone: Spoken
-- Example: 1. You can win this race. I have faith in you.

شک دارم | I doubt it
-- Tone: Spoken
-- Example: 1. "Will he be on time?" "I doubt it."

بعید میدونم | I don't think so
-- Tone: Spoken
-- Example: 1. "Is it going to rain?" "I don't think so."

مطمئن نیستم | I'm not sure
-- Tone: Spoken
-- Example: 1. "Where did he go?" "I'm not sure."

شاید | Maybe / Perhaps
-- Tone: Spoken
-- Example: 1. "Are you coming?" "Maybe."

ببینیم چی میشه | We'll see
-- Tone: Spoken
-- Example: 1. "Can I have a pony?" "We'll see."

بستگی داره | It depends
-- Tone: Spoken
-- Example: 1. "Are you going out?" "It depends on the weather."
