از آنجایی که ... | Inasmuch as ...
-- Example: 1. It was just a shot in the dark, but I guessed right.

آرامش قبل از طوفان | Calm before the storm
-- Pronunciation: /kɑm bɪˈfɔr ðə stɔrm/
-- Tone: Idiom
-- Example: 1. The silence was the calm before the storm.

شروع تازه | Clean slate
-- Pronunciation: /kliːn sleɪt/
-- Tone: Idiom
-- Example: 1. Moving to a new city gave me a clean slate.

سنگ جلوی پای کسی انداختن | Throw a wrench in the works
-- Pronunciation: /θroʊ ə rɛntʃ/
-- Tone: Idiom
-- Example: 1. The bad weather threw a wrench in our plans.

آب پاکی روی دست ریختن | Set the record straight
-- Pronunciation: /sɛt ðə ˈrɛkərd streɪt/
-- Tone: Idiom
-- Example: 1. Let me set the record straight; I never said that.

دست به سیاه و سفید نزدن | Lift a finger
-- Pronunciation: /lɪft ə ˈfɪŋɡər/
-- Tone: Idiom
-- Example: 1. He didn't lift a finger to help us.

بی گدار به آب زدن | Jump the gun
-- Pronunciation: /dʒʌmp ðə ɡʌn/
-- Tone: Idiom
-- Example: 1. Don't jump the gun; wait for the official announcement.

سماجت کردن | Stick to one's guns
-- Pronunciation: /stɪk tu wʌnz ɡʌnz/
-- Tone: Idiom
-- Example: 1. Despite the pressure, she stuck to her guns.

کفگیر به ته دیگ خوردن | Scrape the bottom of the barrel
-- Pronunciation: /skreɪp ðə ˈbɑtəm əv ðə ˈbærəl/
-- Tone: Idiom
-- Example: 1. We are really scraping the bottom of the barrel for ideas now.

از کوره در رفتن | Fly off the handle
-- Pronunciation: /flaɪ ɔf ðə ˈhændəl/
-- Tone: Idiom
-- Example: 1. He flies off the handle at the slightest provocation.

به دل گرفتن | Take to heart
-- Pronunciation: /teɪk tu hɑrt/
-- Tone: Idiom
-- Example: 1. Don't take his criticism to heart.

از سر باز کردن | Get it over with
-- Pronunciation: /ɡɛt ɪt ˈoʊvər wɪð/
-- Tone: Neutral
-- Example: 1. I want to take the test and get it over with.

پا تو کفش کسی کردن | Step on someone's toes
-- Pronunciation: /stɛp ɑn ˈtoʊz/
-- Tone: Idiom
-- Example: 1. I don't want to step on your toes, but I have a suggestion.

دل و جیگر داشتن (شجاعت) | Have the guts
-- Pronunciation: /hæv ðə ɡʌts/
-- Tone: Informal
-- Example: 1. He didn't have the guts to tell her the truth.

رگ خواب کسی را داشتن | Know what makes someone tick
-- Pronunciation: /noʊ wʌt meɪks ˈsʌmwʌn tɪk/
-- Tone: Idiom
-- Example: 1. I'm trying to figure out what makes him tick.

زیر آب زدن | Badmouth / Backstab
-- Pronunciation: /ˈbædˌmaʊθ/
-- Tone: Negative
-- Example: 1. Stop badmouthing your colleagues behind their backs.

شاخ و شانه کشیدن | Flex one's muscles
-- Pronunciation: /flɛks wʌnz ˈmʌsəlz/
-- Tone: Idiom
-- Example: 1. The country is flexing its military muscles.

صورت مسئله را پاک کردن | Sweep under the rug
-- Pronunciation: /swiːp ˈʌndər ðə rʌɡ/
-- Tone: Idiom
-- Example: 1. You can't just sweep your problems under the rug.

قسر در رفتن (از قانون) | Beat the rap
-- Pronunciation: /biːt ðə ræp/
-- Tone: Slang
-- Example: 1. He hired a good lawyer and beat the rap.

گلیم خود را از آب بیرون کشیدن | Fend for oneself
-- Pronunciation: /fɛnd fɔr wʌnˈsɛlf/
-- Tone: Neutral
-- Example: 1. The children had to fend for themselves while their parents were away.

مچ کسی را گرفتن | Catch red-handed
-- Pronunciation: /kætʃ rɛd ˈhændɪd/
-- Tone: Idiom
-- Example: 1. He was caught red-handed stealing the money.

نخود هر آش | Have a finger in every pie
-- Pronunciation: /hæv ə ˈfɪŋɡər ɪn ˈɛvri paɪ/
-- Tone: Idiom
-- Example: 1. She loves to govern; she has a finger in every pie.

هلو بپر تو گلو | Handed on a silver platter
-- Pronunciation: /ˈsɪlvər ˈplætər/
-- Tone: Idiom
-- Example: 1. Success won't be handed to you on a silver platter.

یک تیر و دو نشان | Kill two birds with one stone
-- Pronunciation: /kɪl tuː bɜrdz wɪð wʌn stoʊn/
-- Tone: Idiom
-- Example: 1. I can drop off the mail and pick up lunch; kill two birds with one stone.

یک دستی (بلوف) | Bluff
-- Pronunciation: /blʌf/
-- Tone: Neutral
-- Example: 1. Is he telling the truth or just bluffing?

آبروریزی | Scandal / Disgrace
-- Pronunciation: /ˈskændəl/
-- Tone: Negative
-- Example: 1. The political scandal shocked the nation.

اتفاقی (شانسی) | Coincidence
-- Pronunciation: /koʊˈɪnsɪdəns/
-- Tone: Neutral
-- Example: 1. What a coincidence! I was just thinking about you.

اجتناب ناپذیر | Unavoidable
-- Pronunciation: /ˌʌnəˈvɔɪdəbəl/
-- Tone: Neutral
-- Example: 1. Delays are unavoidable due to the weather.

احتمال (شانس) | Probability / Odds
-- Pronunciation: /ˌprɑbəˈbɪlɪti/
-- Tone: Neutral
-- Example: 1. The odds of winning are slim.

اختلال (وقفه) | Disruption
-- Pronunciation: /dɪsˈrʌpʃən/
-- Tone: Negative
-- Example: 1. A disruption in the supply chain.

استثنا | Exception
-- Pronunciation: /ɪkˈsɛpʃən/
-- Tone: Neutral
-- Example: 1. Everyone must go, with no exceptions.

اشتباه لپی | Slip of the tongue
-- Pronunciation: /slɪp əv ðə tʌŋ/
-- Tone: Idiom
-- Example: 1. It was just a slip of the tongue; I didn't mean it.
