مگر اینکه ... | Unless ...
آبچکان (ظرفشویی) | Dish Rack
-- Pronunciation: /dɪʃ ræk/
-- Tone: Neutral
-- Example: 1. Put the clean plates in the dish rack to dry.

خاک انداز | Dustpan
-- Pronunciation: /ˈdʌstˌpæn/
-- Tone: Neutral
-- Example: 1. Sweep the dirt into the dustpan.

نردبان تاشو | Stepladder
-- Pronunciation: /ˈstɛpˌlædər/
-- Tone: Neutral
-- Example: 1. I need a stepladder to change the light bulb.

چسب زخم | Band-Aid / Plaster
-- Pronunciation: /ˈbænd eɪd/
-- Tone: Neutral
-- Example: 1. Put a Band-Aid on that cut.

موچین | Tweezers
-- Pronunciation: /ˈtwiːzərz/
-- Tone: Neutral
-- Example: 1. She used tweezers to remove the splinter.

سوهان ناخن | Nail File
-- Pronunciation: /neɪl faɪl/
-- Tone: Neutral
-- Example: 1. Can I borrow your nail file?

سرخ کن | Fryer
-- Pronunciation: /ˈfraɪər/
-- Tone: Neutral
-- Example: 1. We made french fries in the deep fryer.

همزن (دستی) | Whisk
-- Pronunciation: /wɪsk/
-- Tone: Neutral
-- Example: 1. Use a whisk to beat the eggs.

رنده | Grater
-- Pronunciation: /ˈɡreɪtər/
-- Tone: Neutral
-- Example: 1. I need a cheese grater for the pasta.

درب بازکن (کنسرو) | Can Opener
-- Pronunciation: /kæn ˈoʊpənər/
-- Tone: Neutral
-- Example: 1. The can opener is in the drawer.

وسیله / ابزار (مبهم) | Contraption
-- Pronunciation: /kənˈtræpʃən/
-- Tone: Informal
-- Synonyms: Gadget, Gizmo
-- Example: 1. What is that weird contraption in the garage?

چرت و پرت / مهمل | Gibberish
-- Pronunciation: /ˈdʒɪbərɪʃ/
-- Tone: Informal
-- Synonyms: Nonsense
-- Example: 1. He was talking gibberish; I couldn't understand a word.

طفره رفتن / معطل کردن | Procrastinate
-- Pronunciation: /proʊˈkræstəˌneɪt/
-- Tone: Neutral
-- Synonyms: Delay
-- Example: 1. I always procrastinate when I have a deadline.

کینه | Grudge
-- Pronunciation: /ɡrʌdʒ/
-- Tone: Neutral
-- Example: 1. She still holds a grudge against him for what he said.

حس ششم | Gut feeling
-- Pronunciation: /ɡʌt ˈfiːlɪŋ/
-- Tone: Informal
-- Synonyms: Intuition
-- Example: 1. I have a gut feeling that something is wrong.

بداهه / یهویی | Impromptu
-- Pronunciation: /ɪmˈprɑmptu/
-- Tone: Neutral
-- Synonyms: Spontaneous
-- Example: 1. They held an impromptu meeting in the hallway.

مقرون به صرفه | Cost-effective
-- Pronunciation: /kɔst ɪˈfɛktɪv/
-- Tone: Corporate
-- Synonyms: Economical
-- Example: 1. This is the most cost-effective solution.

سرمایه گذاری (ریسک) | Venture
-- Pronunciation: /ˈvɛntʃər/
-- Tone: Business
-- Example: 1. Their new business venture failed.

ذینفعان | Stakeholders
-- Pronunciation: /ˈsteɪkˌhoʊldərz/
-- Tone: Corporate
-- Example: 1. We need to get approval from all stakeholders.

پهنای باند (ظرفیت ذهنی) | Bandwidth
-- Pronunciation: /ˈbændwɪdθ/
-- Tone: Corporate/Slang
-- Example: 1. I don't have the bandwidth to take on another project right now.

نتیجه نهایی / سود خالص | Bottom line
-- Pronunciation: /ˈbɑtəm laɪn/
-- Tone: Corporate
-- Example: 1. The bottom line is that we need to cut costs. 2. What's the impact on the bottom line?

نوآوری / تحول بزرگ | Breakthrough
-- Pronunciation: /ˈbreɪkˌθru/
-- Tone: Neutral
-- Example: 1. Scientists have made a major breakthrough in cancer research.

بادوام / جان سخت | Resilient
-- Pronunciation: /rɪˈzɪljənt/
-- Tone: Positive
-- Example: 1. She is very resilient; she bounces back from setbacks quickly.

کمیاب | Scarce
-- Pronunciation: /skɛrs/
-- Tone: Neutral
-- Synonyms: Rare
-- Example: 1. Food was scarce during the war.

فراوان | Abundant
-- Pronunciation: /əˈbʌndənt/
-- Tone: Neutral
-- Synonyms: Plentiful
-- Example: 1. We have abundant natural resources.

منسجم / یکدست | Coherent
-- Pronunciation: /koʊˈhɪrənt/
-- Tone: Formal
-- Example: 1. The team lacks a coherent strategy. 2. He couldn't speak in a coherent sentence.

سازش / مصالحه | Compromise
-- Pronunciation: /ˈkɑmprəˌmaɪz/
-- Tone: Neutral
-- Example: 1. We reached a compromise after hours of negotiation. 2. Don't compromise your values.

تطبیق دادن / وفق دادن | Adapt
-- Pronunciation: /əˈdæpt/
-- Tone: Neutral
-- Example: 1. You need to adapt to the new environment.

کاهش دادن (اثر بد) | Mitigate
-- Pronunciation: /ˈmɪtɪˌɡeɪt/
-- Tone: Formal
-- Synonyms: Alleviate
-- Example: 1. We took steps to mitigate the risks.

ابهام | Ambiguity
-- Pronunciation: /ˌæmbɪˈɡjuɪti/
-- Tone: Formal
-- Example: 1. The contract is full of ambiguity.


مصلحت اندیشی / تدبیر | Expediency
-- Pronunciation: /ɪkˈspiːdiənsi/
-- Tone: Formal
-- Example: 1. The decision was made for reasons of expediency, not principle.

سرسری / اجمالی | Cursory
-- Pronunciation: /ˈkɜrsəri/
-- Tone: Formal
-- Synonyms: Superficial
-- Example: 1. He gave the report a cursory glance.

خوش‌بین (به آینده بازار) | Bullish
-- Pronunciation: /ˈbʊlɪʃ/
-- Tone: Financial
-- Example: 1. Analysts are bullish on the tech sector.

بدبین (به آینده بازار) | Bearish
-- Pronunciation: /ˈbɛrɪʃ/
-- Tone: Financial
-- Example: 1. The market sentiment is bearish due to inflation.

حاشیه سود | Profit Margin
-- Pronunciation: /ˈprɑfɪt ˈmɑrdʒɪn/
-- Tone: Business
-- Example: 1. We need to increase our profit margin.

نقدینگی | Liquidity
-- Pronunciation: /lɪˈkwɪdɪti/
-- Tone: Financial
-- Example: 1. The company is facing a liquidity crisis.

نقطه سر به سر | Break-even point
-- Pronunciation: /ˈbreɪk ˈiːvən pɔɪnt/
-- Tone: Business
-- Example: 1. We expect to reach the break-even point in six months.

برونسپاری | Outsourcing
-- Pronunciation: /ˈaʊtˌsɔrsɪŋ/
-- Tone: Business
-- Example: 1. Outsourcing IT services can save money.

مقیاس‌پذیر | Scalable
-- Pronunciation: /ˈskeɪləbəl/
-- Tone: Tech/Business
-- Example: 1. Is this business model scalable?

دست و پا گیر (سنگین) | Cumbersome
-- Pronunciation: /ˈkʌmbərsəm/
-- Tone: Neutral
-- Synonyms: Unwieldy
-- Example: 1. The old process was cumbersome and slow.

بی‌نقص / تمیز | Impeccable
-- Pronunciation: /ɪmˈpɛkəbəl/
-- Tone: Positive
-- Synonyms: Flawless
-- Example: 1. Her English is impeccable. 2. He has impeccable taste.

خوش‌صحبت / فصیح | Articulate
-- Pronunciation: /ɑrˈtɪkjələt/
-- Tone: Positive
-- Example: 1. She is an articulate speaker.

موذی / تدریجی (ولی مخرب) | Insidious
-- Pronunciation: /ɪnˈsɪdiəs/
-- Tone: Negative
-- Example: 1. High blood pressure is an insidious disease.

فراگیر / همه جا حاضر | Ubiquitous
-- Pronunciation: /juˈbɪkwɪtəs/
-- Tone: Formal
-- Synonyms: Omnipresent
-- Example: 1. Smartphones have become ubiquitous.

زائد / اضافی | Superfluous
-- Pronunciation: /suˈpɜrfluəs/
-- Tone: Formal
-- Synonyms: Unnecessary
-- Example: 1. Remove any superfluous words from your essay.

دقیق / وسواسی | Meticulous
-- Pronunciation: /məˈtɪkjələs/
-- Tone: Positive
-- Synonyms: Careful
-- Example: 1. He is meticulous about detail.

بومی (منطقه خاص) | Indigenous
-- Pronunciation: /ɪnˈdɪdʒənəs/
-- Tone: Formal
-- Synonyms: Native
-- Example: 1. The kangaroo is indigenous to Australia.

نوستالژیک / خاطره‌انگیز | Evocative
-- Pronunciation: /ɪˈvɑkətɪv/
-- Tone: Artistic
-- Example: 1. The smell of baking bread is evocative of my childhood.

زودگذر | Ephemeral
-- Pronunciation: /əˈfɛmərəl/
-- Tone: Literary
-- Synonyms: Short-lived
-- Example: 1. Fashion trends are ephemeral.

حیاتی / محوری | Pivotal
-- Pronunciation: /ˈpɪvətəl/
-- Tone: Formal
-- Synonyms: Crucial
-- Example: 1. This is a pivotal moment in history.

پیش‌پا افتاده / معمولی | Mundane
-- Pronunciation: /mʌnˈdeɪn/
-- Tone: Neutral
-- Synonyms: Ordinary
-- Example: 1. I’m tired of doing mundane tasks like washing dishes.

پارادوکس / متناقض‌نما | Paradox
-- Pronunciation: /ˈpærəˌdɑks/
-- Tone: Neutral
-- Example: 1. It’s a paradox that computers save time but we seem to have less of it.

دوپهلو / مبهم | Ambivalent
-- Pronunciation: /æmˈbɪvələnt/
-- Tone: Psychological
-- Example: 1. I feel ambivalent about moving to a new city. (Mixed feelings)

بی‌تفاوت | Apathetic
-- Pronunciation: /ˌæpəˈθɛtɪk/
-- Tone: Negative
-- Synonyms: Indifferent
-- Example: 1. Voters are becoming increasingly apathetic.

همدردی (درک احساس) | Empathy
-- Pronunciation: /ˈɛmpəθi/
-- Tone: Positive
-- Example: 1. She showed great empathy for the victims.

نوع‌دوستی | Altruism
-- Pronunciation: /ˈæltruˌɪzəm/
-- Tone: Positive
-- Example: 1. His donation was an act of pure altruism.

انعطاف‌پذیری (تطبیق) | Versatility
-- Pronunciation: /ˌvɜrsəˈtɪlɪti/
-- Tone: Positive
-- Example: 1. I admire the versatility of this tool.

استقامت / پشتکار | Perseverance
-- Pronunciation: /ˌpɜrsəˈvɪrəns/
-- Tone: Positive
-- Synonyms: Persistence
-- Example: 1. Success requires hard work and perseverance.

صحت / درستی | Integrity
-- Pronunciation: /ɪnˈtɛɡrɪti/
-- Tone: Positive
-- Example: 1. He is a man of high integrity. 2. Data integrity is crucial.

تند / زننده (بو/مزه) | Pungent
-- Pronunciation: /ˈpʌndʒənt/
-- Tone: Neutral
-- Example: 1. Onions have a pungent smell.

جیغ / گوش‌خراش | Shrill
-- Pronunciation: /ʃrɪl/
-- Tone: Negative
-- Example: 1. A shrill voice pierced the air.

کر کننده | Deafening
-- Pronunciation: /ˈdɛfənɪŋ/
-- Tone: Vivid
-- Example: 1. The explosion was deafening.

خیره‌کننده | Dazzling
-- Pronunciation: /ˈdæzlɪŋ/
-- Tone: Positive
-- Example: 1. A dazzling display of fireworks.

کدر / مات | Opaque
-- Pronunciation: /oʊˈpeɪk/
-- Tone: Neutral
-- Example: 1. The windows are opaque; you can't see through them. (Also used metaphorically for valid processes)

شفاف (آینه‌ای) | Transparent
-- Pronunciation: /trænsˈpɛrənt/
-- Tone: Neutral
-- Example: 1. We need a transparent hiring process.

زمخت / زبر | Coarse
-- Pronunciation: /kɔrs/
-- Tone: Neutral
-- Synonyms: Rough
-- Example: 1. The fabric feels coarse.

لطیف / ظریف | Delicate
-- Pronunciation: /ˈdɛlɪkət/
-- Tone: Positive
-- Example: 1. A delicate flower. 2. A delicate situation.

شکننده | Fragile
-- Pronunciation: /ˈfrædʒəl/
-- Tone: Neutral
-- Synonyms: Breakable
-- Example: 1. Handle with care; the contents are fragile.

دست و پا چلفتی | Clumsy
-- Pronunciation: /ˈklʌmzi/
-- Tone: Negative
-- Example: 1. I’m so clumsy; I keep dropping things.

خجالتی / کمرو | Timid
-- Pronunciation: /ˈtɪmɪd/
-- Tone: Neutral
-- Synonyms: Shy
-- Example: 1. A timid child hiding behind his mother.

جسور / بی پروا | Bold
-- Pronunciation: /boʊld/
-- Tone: Positive
-- Synonyms: Daring
-- Example: 1. It was a bold move to quit his job.

محتاط | Cautious
-- Pronunciation: /ˈkɔʃəs/
-- Tone: Neutral
-- Synonyms: Careful
-- Example: 1. Be cautious when driving in the rain.

کنجکاو | Inquisitive
-- Pronunciation: /ɪnˈkwɪzɪtɪv/
-- Tone: Positive
-- Synonyms: Curious
-- Example: 1. An inquisitive mind is essential for a scientist.

بدبین (به نیات دیگران) | Cynical
-- Pronunciation: /ˈsɪnɪkəl/
-- Tone: Negative
-- Example: 1. He is cynical about politicians' motives.

خوش‌بین (به طور کلی) | Optimistic
-- Pronunciation: /ˌɑptəˈmɪstɪk/
-- Tone: Positive
-- Example: 1. I am optimistic about the future.

بدبین (به طور کلی) | Pessimistic
-- Pronunciation: /ˌpɛsəˈmɪstɪk/
-- Tone: Negative
-- Example: 1. Don't be so pessimistic; things will work out.

نوستالژی | Nostalgia
-- Pronunciation: /nɔˈstældʒə/
-- Tone: Neutral
-- Example: 1. Viewing old photos filled him with nostalgia.

حسرت / افسوس | Regret
-- Pronunciation: /rɪˈɡrɛt/
-- Tone: Negative
-- Example: 1. I regret not learning a second language.

پشیمانی (اخلاقی) | Remorse
-- Pronunciation: /rɪˈmɔrs/
-- Tone: Serious
-- Example: 1. The killer showed no remorse.

بی‌زار / متنفر | Loathe
-- Pronunciation: /loʊð/
-- Tone: Strong Negative
-- Synonyms: Hate
-- Example: 1. I loathe waking up early.


گیر افتادن در ترافیک | Stuck in traffic
-- Pronunciation: /stʌk ɪn ˈtræfɪk/
-- Tone: Neutral
-- Example: 1. Sorry I'm late; I got stuck in traffic.

آنتن ندادن (موبایل) | No reception / No signal
-- Pronunciation: /noʊ rɪˈsɛpʃən/
-- Tone: Neutral
-- Example: 1. I couldn't call you because I had no reception in the basement.

شارژ تمام کردن | Run out of battery
-- Pronunciation: /rʌn aʊt əv ˈbætəri/
-- Tone: Neutral
-- Example: 1. My phone ran out of battery halfway through the day.

هنگ کردن (کامپیوتر/موبایل) | Freezing / Crashing
-- Pronunciation: /ˈfriːzɪŋ/
-- Tone: Neutral
-- Example: 1. My laptop keeps freezing when I open too many tabs.

صدایت قطع و وصل می‌شود | Breaking up
-- Pronunciation: /ˈbreɪkɪŋ ʌp/
-- Tone: Neutral
-- Example: 1. You're breaking up; can you say that again?

روی خط نگه داشتن | Put on hold
-- Pronunciation: /pʊt ɑn hoʊld/
-- Tone: Neutral
-- Example: 1. The customer service rep put me on hold for 20 minutes.

حساب و کتاب کردن (دوستانه) | Split the bill
-- Pronunciation: /splɪt ðə bɪl/
-- Tone: Neutral
-- Example: 1. Let's split the bill evenly.

مهمان من (حساب کردن) | On me
-- Pronunciation: /ɑn mi/
-- Tone: Casual
-- Example: 1. Put your wallet away; lunch is on me.

تعارف کردن (غذا/پول) | Insist
-- Pronunciation: /ɪnˈsɪst/
-- Tone: Neutral
-- Example: 1. He insisted on paying for dinner.

جا زدن (در برنامه) | Flake / Bail
-- Pronunciation: /fleɪk/
-- Tone: Slang
-- Example: 1. He always flakes on us at the last minute. 2. Are you going to bail on the party?

پیچوندن (کسی) | Blow off
-- Pronunciation: /bloʊ ɔf/
-- Tone: Slang
-- Example: 1. She blew me off and didn't reply to my texts.

ترافیک روان | Traffic is moving
-- Pronunciation: /ˈtræfɪk ɪz ˈmuːvɪŋ/
-- Tone: Neutral
-- Example: 1. Surprisingly, traffic is moving smoothly today.

ساعت اوج شلوغی | Rush hour
-- Pronunciation: /rʌʃ aʊər/
-- Tone: Neutral
-- Example: 1. Avoid driving during rush hour if you can.

راهبندان | Gridlock
-- Pronunciation: /ˈɡrɪdlɑk/
-- Tone: Neutral
-- Example: 1. The accident caused total gridlock downtown.

پارک دوبل | Parallel park
-- Pronunciation: /ˈpærəlɛl pɑrk/
-- Tone: Neutral
-- Example: 1. I'm terrible at parallel parking.

دنده عقب رفتن | Back up / Reverse
-- Pronunciation: /bæk ʌp/
-- Tone: Neutral
-- Example: 1. Be careful when you back up out of the driveway.

چرت زدن | Take a nap / Doze off
-- Pronunciation: /doʊz ɔf/
-- Tone: Neutral
-- Example: 1. I dozed off during the meeting.

سحرخیز | Early bird
-- Pronunciation: /ˈɜrli bɜrd/
-- Tone: Idiom
-- Example: 1. I'm an early bird; I wake up at 5 AM.

شب زنده دار | Night owl
-- Pronunciation: /naɪt aʊl/
-- Tone: Idiom
-- Example: 1. My brother is a night owl; he sleeps at 3 AM.

بیخوابی | Insomnia
-- Pronunciation: /ɪnˈsɑmniə/
-- Tone: Medical
-- Example: 1. I suffer from insomnia when I'm stressed.

خواب ماندن (ناخواسته) | Oversleep
-- Pronunciation: /ˌoʊvərˈsliːp/
-- Tone: Neutral
-- Example: 1. I overslept and missed the bus.

سرویس بهداشتی (عمومی) | Restroom
-- Pronunciation: /ˈrɛstrum/
-- Tone: Polite (US)
-- Example: 1. Could you tell me where the restroom is?

اشتها کور شدن | Lose appetite
-- Pronunciation: /luːz ˈæpəˌtaɪt/
-- Tone: Neutral
-- Example: 1. The bad news made me lose my appetite.

رژیم گرفتن | Go on a diet
-- Pronunciation: /daɪət/
-- Tone: Neutral
-- Example: 1. I need to go on a diet to lose weight.

پرخوری کردن | Overeat / Binge
-- Pronunciation: /oʊvərˈiːt/
-- Tone: Neutral
-- Example: 1. I always overeat at buffets.

تاریخ انقضا گذشتن | Expire / Go bad
-- Pronunciation: /ɪkˈspaɪər/
-- Tone: Neutral
-- Example: 1. The milk has gone bad; throw it away.

کپک زده | Moldy
-- Pronunciation: /ˈmoʊldi/
-- Tone: Neutral
-- Example: 1. The bread is moldy.

تهوع داشتن | Nauseous
-- Pronunciation: /ˈnɔʃəs/
-- Tone: Neutral
-- Example: 1. I feel nauseous when I read in the car.

سرگیجه | Dizzy
-- Pronunciation: /ˈdɪzi/
-- Tone: Neutral
-- Example: 1. I stood up too fast and felt dizzy.

خفیف (درد/بیماری) | Mild
-- Pronunciation: /maɪld/
-- Tone: Neutral
-- Example: 1. I have mild symptoms of the flu.

شدید (درد) | Severe / Acute
-- Pronunciation: /səˈvɪr/
-- Tone: Medical
-- Example: 1. He has severe back pain.

مسری | Contagious
-- Pronunciation: /kənˈteɪdʒəs/
-- Tone: Medical
-- Example: 1. Is it contagious? Should I wear a mask?

وقت دکتر گرفتن | Make an appointment
-- Pronunciation: /əˈpɔɪntmənt/
-- Tone: Neutral
-- Example: 1. I need to make an appointment with the dentist.

نسخه (دارو) | Prescription
-- Pronunciation: /prɪˈskrɪpʃən/
-- Tone: Neutral
-- Example: 1. The doctor wrote me a prescription for antibiotics.

عوارض جانبی | Side effects
-- Pronunciation: /saɪd ɪˈfɛkts/
-- Tone: Neutral
-- Example: 1. Drowsiness is a common side effect of this medication.


تردید کردن / نوسان داشتن | Vacillate
-- Pronunciation: /ˈvæsəˌleɪt/
-- Tone: Formal
-- Synonyms: Waffle, Hesitate, Fluctuate
-- Example: 1. She vacillated between the two options for weeks. 2. His mood vacillates between hope and despair. 3. Stop vacillating and make a decision!

تحریک کردن (منفی) / دامن زدن | Instigate
-- Pronunciation: /ˈɪnstəˌɡeɪt/
-- Tone: Negative
-- Synonyms: Incite, Provoke
-- Example: 1. He was accused of instigating the riot. 2. Don't instigate an argument when we are trying to have a nice dinner. 3. The government instigated a new program for health reform.

تسکین دادن (خشم) | Appease
-- Pronunciation: /əˈpiːz/
-- Tone: Formal
-- Synonyms: Pacify, Mollify, Placate
-- Example: 1. They tried to appease the angry customers with free coupons. 2. Nothing could appease his anger after the betrayal. 3. The manager appeased the critics by promising changes.

جعل کردن / ساختگی | Fabricate
-- Pronunciation: /ˈfæbrɪˌkeɪt/
-- Tone: Neutral
-- Synonyms: Make up, Invent, Forge
-- Example: 1. The evidence was completely fabricated. 2. He fabricated an excuse for being late. 3. The story was a pure fabrication from start to finish.

بررسی دقیق کردن | Scrutinize
-- Pronunciation: /ˈskruːtəˌnaɪz/
-- Tone: Formal
-- Synonyms: Examine, Inspect
-- Example: 1. The contract was scrutinized by lawyers. 2. The media scrutinizes every move the president makes. 3. Please scrutinize the data for any errors before publishing.

تکرار کردن (برای تاکید) | Reiterate
-- Pronunciation: /riˈɪtəˌreɪt/
-- Tone: Formal
-- Synonyms: Repeat, Restate
-- Example: 1. Let me reiterate my point so there is no confusion. 2. The professor reiterated the importance of the final exam. 3. I want to reiterate that we are fully committed to this project.

منحرف شدن (از موضوع) | Digress
-- Pronunciation: /daɪˈɡrɛs/
-- Tone: Formal
-- Synonyms: Deviate, Drift
-- Example: 1. Let me digress for a moment to explain the background. 2. The speaker digressed from his main topic to tell a personal story. 3. Don't digress; stick to the agenda.

بدتر کردن / تشدید کردن | Exacerbate
-- Pronunciation: /ɪɡˈzæsərˌbeɪt/
-- Tone: Formal
-- Synonyms: Worsen, Aggravate, Compound
-- Example: 1. Stress can exacerbate the symptoms of the disease. 2. His angry comments only exacerbated the situation. 3. Skipping meals will exacerbate your headache.

تلقین کردن | Indoctrinate
-- Pronunciation: /ɪnˈdɑktrəˌneɪt/
-- Tone: Negative
-- Synonyms: Brainwash, Propagandize
-- Example: 1. The cult indoctrinates its members with radical beliefs. 2. Schools should educate students, not indoctrinate them. 3. He was indoctrinated into the ideology at a young age.

سرسخت / کله‌شق | Obstinate
-- Pronunciation: /ˈɑbstənət/
-- Tone: Negative
-- Synonyms: Stubborn, Pig-headed, Unyielding
-- Example: 1. He is too obstinate to admit he was wrong. 2. An obstinate refusal to compromise. 3. The stain was obstinate and wouldn't come out.

بی‌دقت / سهل‌انگار | Negligent
-- Pronunciation: /ˈnɛɡlɪdʒənt/
-- Tone: Legal/Formal
-- Synonyms: Careless, Remiss
-- Example: 1. The company was negligent in safety procedures. 2. The driver was found negligent for texting while driving. 3. Don't be negligent with your duties.

مشتاق / آرزومند (با حسرت) | Wistful
-- Pronunciation: /ˈwɪstfəl/
-- Tone: Literary
-- Synonyms: Nostalgic, Longing
-- Example: 1. She gave a wistful smile as she looked at the old photo. 2. A wistful glance at the toys in the shop window. 3. He spoke wistfully of his childhood in the village.

بی‌تفاوت / خونسرد (بیش از حد) | Nonchalant
-- Pronunciation: /ˌnɑnʃəˈlɑnt/
-- Tone: Neutral
-- Synonyms: Indifferent, Unconcerned, Cool
-- Example: 1. He was surprisingly nonchalant about winning the lottery. 2. She strolled into the meeting in a nonchalant manner. 3. Try to appear nonchalant even if you are nervous.

بدنام | Notorious
-- Pronunciation: /noʊˈtɔriəs/
-- Tone: Negative
-- Synonyms: Infamous
-- Example: 1. The city is notorious for its traffic jams. 2. A notorious criminal was caught yesterday. 3. This restaurant is notorious for bad service.

خسته‌کننده / ملال‌آور | Mundane
-- Pronunciation: /mʌnˈdeɪn/
-- Tone: Neutral
-- Synonyms: Boring, Routine, Ordinary
-- Example: 1. I need a break from my mundane routine. 2. Even mundane tasks like washing dishes can be meditative. 3. He led a mundane life until he won the lottery.

خاکی / فروتن (غیر رسمی) | Down-to-earth
-- Pronunciation: /daʊn tu ɜrθ/
-- Tone: Positive
-- Synonyms: Humble, Practical, Realistic
-- Example: 1. Despite his fame, he is very down-to-earth. 2. I like her because she's so down-to-earth and easy to talk to. 3. We need a down-to-earth approach to solve this problem.

بداخلاق / ترشرو | Grumpy
-- Pronunciation: /ˈɡrʌmpi/
-- Tone: Informal
-- Synonyms: Irritable, Crabby, Grouchy
-- Example: 1. I'm always grumpy in the morning before coffee. 2. Why are you so grumpy today? 3. A grumpy old man lived next door.

سرسخت / مقاوم | Tenacious
-- Pronunciation: /təˈneɪʃəs/
-- Tone: Positive
-- Synonyms: Persistent, Determined, Resolute
-- Example: 1. She is a tenacious negotiator. 2. The tenacious weeds kept growing back. 3. His tenacious grip on reality helped him survive.

ساده‌لوح | Gullible
-- Pronunciation: /ˈɡʌləbəl/
-- Tone: Negative
-- Synonyms: Naive, Credulous
-- Example: 1. Don't be so gullible; he's lying to you. 2. Scammers target gullible people online. 3. I was gullible enough to believe his story.

مرموز / مبهم | Enigmatic
-- Pronunciation: /ˌɛnɪɡˈmætɪk/
-- Tone: Literary
-- Synonyms: Mysterious, Puzzling, Cryptic
-- Example: 1. The Mona Lisa has an enigmatic smile. 2. He is an enigmatic figure; nobody knows much about him. 3. An enigmatic message was left on my desk.

بی‌شرمانه / آشکار | Blatant
-- Pronunciation: /ˈbleɪtənt/
-- Tone: Negative
-- Synonyms: Obvious, Flagrant, Glaring
-- Example: 1. That was a blatant lie. 2. A blatant disregard for the rules. 3. His attempt to cheat was blatant.

منسوخ | Obsolete
